공고URL,모집분야,직무키워드,담당업무,자격요건,우대사항,직급직책,근무형태,근무시간,급여,업종,직종,상세주소,모집인원,학력,수집시각
https://career.rememberapp.co.kr/job/posting/182771,,,• 알루미늄복합패널 생산 공정 담당 및 보조 • 생산 투입 원/부자재 관리 작업일보 기록 및 입력 • 생산 시 제품 검수/적재,• 학력/경력: 무관,• 지게차운전기능사 보유자,,,,협의,,,,,,2026-09-08 13:47:43
https://career.rememberapp.co.kr/job/posting/183637,,,"• 회사가 제공하는 장비 및 시스템과 관련된 전 업무 범위 • 선박용 LNG FGSS 외 Automation 프로젝트의 전반적인 계획, 실행, 모니터링 및 완료 관리 • 프로젝트 일정 관리 • 고객사(조선소, 선주) 대응 및 선급 규정 대응 • 프로젝트 예산 수립 및 비용 관리 • 리스크 식별 및 완화 전략 수립과 성과 지표 설정 및 관리 • 엔지니어링 설계 및 프로세스를 이해관계자들에게 전달하고, 설계 검토 및 프로젝트 회의 • FGSS Control System HW FAT 준비 및 수행 • 장비 및 자재 관리, 물류 기여 • 공급 업체와 협력하여 공급업체 문서, 입찰 및 제안서, 자재 및 장비 평가 작업 수행",• 전기/제어/프로젝트 관리 등 관련 분야 학사 이상 • LNG FGSS 또는 유사 프로젝트 관리 분야 최소 4년 이상 경험 • 비즈니스 소통 가능한 수준의 영어 커뮤니케이션 스킬,"• 조선해양 분야 관련 엔지니어 경력 4년 이상 (Senior, Junior) • 승선 근무 또는 조선해양 분야 경험자 • 프로젝트관리 소프트웨어 및 CAD 소프트웨어 사용 능력 • 자기 주도적이며, 고객관리 능력 및 협업과 문제해결 역량, 커뮤니케이션 역량 보유자",,,,협의,,,,,,2026-09-08 13:47:43
https://career.rememberapp.co.kr/job/posting/240878,,,공공기관 및 기업 행사 기획·운영 컨퍼런스 / 포럼 / 축제 / 개막식 운영 행사 현장 운영 및 협력사 커뮤니케이션 제안서 및 운영계획서 작성 행사 홍보물 및 디자인 협업 행사 일정 및 예산 관리,책임감 있게 업무를 수행할 수 있는 분 원활한 커뮤니케이션이 가능한 분 현장 업무 수행에 거부감이 없는 분 배우고 성장하려는 의지가 있는 분,"행사/MICE/축제 운영 경험자 PPT, 한글, 엑셀 활용 가능자 운전 가능자 포토샵·일러스트 활용 가능자 우대 콘텐츠/SNS 운영 경험자 우대",,,,협의,,,,,,2026-09-08 13:47:43
https://career.rememberapp.co.kr/job/posting/252416,,,"ㆍ회사가 제공하는 장비 및 시스템과 관련된 전 업무 범위 ㆍ선박용 LNG FGSS, ESDS 및 기타 제어 시스템 설계, H/W FAT 업무 지원, S/W Production 및 FAT 수행 ㆍ프로젝트에 대한 설치 및 시운전 업무 지원 ㆍ리스크 및 기회 평가하고 해결을 위한 문제 보고 ㆍ엔지니어링 설계 및 프로세스를 이해관계자들에게 전달하고, 설계 검토 및 프로젝트 회의 기여 ㆍ설계 검토 및 프로젝트 회의 참여","ㆍ전기/제어/기계 등 관련 분야의 전문학사 이상 학위 보유자 ㆍPLC 프로그래밍, HMI, 시리얼 인터페이스 및 선박/공정 자동화 제어 시스템 실무 경험 보유자","ㆍ선박 제어 시스템(AMS, ICMS, IAS), 선박 Dual Fuel System(FGSS, LFSS 등) 관련 경력 2년 이상 보유자 ㆍC / Python 등 개발 언어에 대한 이해가 있으신 분 ㆍ승선 근무 또는 조선해양분야 유경험자 ㆍ비즈니스 소통 가능한 수준의 영어 커뮤니케이션 스킬 ㆍ관련 자격증 보유자 (전기기사 등) ㆍ자기 주도적이며, 고객관리 능력 및 협업과 문제해결 역량, 커뮤니케이션 역량 보유자",,,,협의,,,,,,2026-09-08 13:47:44
https://career.rememberapp.co.kr/job/posting/252422,,,"• 회사가 제공하는 장비 및 시스템과 관련된 전 업무 범위 • LNG FGSS(Fuel Gas Supply System) 제어시스템 설치 및 커미셔닝(시운전) 작업을 계획하고 실행 • 커미셔닝 과정에서 발생하는 모든 활동과 결과를 문서화하고 관련 이해관계자에게 보고 • 커미셔닝 중 발생하는 기술적 문제를 진단하고 해결, 시스템 최적화 • 프로젝트에 대한 설치 및 시운전 • 리스크 및 기회 평가하고 해결을 위한 문제 보고 • 엔지니어링 설계 및 프로세스를 이해관계자들에게 전달하고, 설계 검토 및 프로젝트 회의 기여","• 전기/제어/기계 등 관련 분야의 전문학사 이상 학위 보유자 • PLC 프로그래밍, HMI, 시리얼 인터페이스 및 선박/공정 자동화 제어 시스템 실무 경험 보유자 • LNG FGSS 또는 유사 프로젝트 관리 분야 최소 1년 이상 경험 • LNG 시스템 관련 기술적 이해, P&ID (공정 및 계기 다이어그램) 해석 능력 • 비즈니스 소통 가능한 수준의 영어 커뮤니케이션 스킬","• 조선해양 분야 관련 엔지니어 경력 3년 이상 (Senior, Junior) ㆍ선박 제어 시스템(AMS, ICMS, IAS), 선박 Dual Fuel System(FGSS, LFSS 등) 관련 경력 2년 이상 보유자 • 승선 근무 또는 조선해양 분야 경험자 • HSE(Health, Safety, Environment) 기준 및 산업 안전 규정에 대한 이해 • 자기 주도적이며, 고객관리 능력 및 협업과 문제해결 역량, 커뮤니케이션 역량 보유자",,,,협의,,,,,,2026-09-08 13:47:44
https://career.rememberapp.co.kr/job/posting/253545,,,"• 쇼핑몰 채널팀 전반적인 관리 및 운영 • 주요 쇼핑몰 : 스마트스토어, 오늘의집, 쿠팡 등 • 채널별, 제품별 전략 수립 및 데이터분석 • 매출, 마케팅비용 등 핵심지표관리",• 쇼핑몰 운영 경력 : 5년 이상 • 경력 및 성과 데이터 중심의 포트폴리오 • 자기 주도적으로 업무를 추진할 수 있는 능력,"• 온라인 쇼핑몰 MD, 운영, 상품 등 기획 경력자",과장 / 팀장 연봉 협의,,,협의,,,,,,2026-09-08 13:47:44
https://career.rememberapp.co.kr/job/posting/256247,,,"• 산업용 자동화 솔루션(PLC, HMI, SCADA, 센서, 서보드라이브 등) 및 관련 제품에 대한 기술영업 및 고객 컨설팅 • 국내 제조업 고객 대상 신규 시장 개발 및 기존 고객 관계 유지 • 고객 요구사항에 따른 기술 제안서 작성 및 솔루션 프레젠테이션 • 프로젝트 초기 단계부터 수주까지의 세일즈 사이클 전반 관리 • 본사 및 기술팀과 협업하여 고객 맞춤형 솔루션 설계 지원 • 시장 및 산업 동향 파악, 경쟁사 분석 및 영업 전략 수립","• 4년제 대학 졸업 이상 (전기전자, 메카트로닉스, 자동화공학, 기계 등 관련 전공 우대) • B2B 기술영업 경력 3년 이상 • 산업용 제어기기, 자동화 솔루션, 디지털 제조 환경에 대한 이해 • 우수한 커뮤니케이션 및 프레젠테이션 능력 • 능동적이고 고객 중심적인 문제 해결 능력 • 기본적인 영어 독해 및 이메일 소통 가능자","• 글로벌 제조사 또는 SI(시스템 인테그레이터) 근무 경험 • Rockwell, Siemens, Mitsubishi 등의 공장자동화, IOT 솔루션 제품 경험",,,,협의,,,,,,2026-09-08 13:47:45
https://career.rememberapp.co.kr/job/posting/256847,,,"▸ 신사업 총괄 기존 운영 시설(데이케어센터) 리뉴얼 기획 및 신규 직영점 오픈 전략 수립 운영 매뉴얼화, 표준 운영지침(SOP), 직무체계 설계 및 전파 조직 운영 체계 정비 및 인력 관리 센터 운영 모니터링 및 품질관리 체계 구축 ▸ 사업기획 및 경영전략 데이케어 및 시니어케어 사업 전반에 대한 중장기 로드맵 수립 정부 지원사업 및 규제 대응 전략 수립 (보건","데이케어/요양기관/프랜차이즈 운영 총괄 경험 경영전략 수립 및 매뉴얼화, 조직 운영에 대한 실무 경험 정부지원사업 및 인증 대응 실무 경험자 투자자 커뮤니케이션 및 IR 경험자",,임원급 / 이사 연봉 협의,,,협의,,,,,,2026-09-08 13:47:45
https://career.rememberapp.co.kr/job/posting/257515,,,"• 입장권 관련 모객 전략 및 연간 운영계획 수립 • 기존 회원 관리 및 신규 회원 유치, 고객 응대 관리 • 입장수입 정산 및 비용 결산 • 티켓 판매 프로세스 관리 감독 (부산 현지 근)","• 부산 근무 가능자 • 프로모션 업종에 종사 또는 광고 AE, 마케팅, 이벤트 기획 및 제안, 영업 관련 경험 보유자 • CRM 마케팅 또는 B2B/B2C 고객 마케팅 경험 보유자 • 스포츠에 관심이 많거나 스포츠 산업에 대한 이해도 보유자 • 세심하고 꼼꼼한 성격의 소유자",• 광고 AE 경력과 뛰어난 기획력,,,,협의,에 대한 이해도 보유자 • 세심하고 꼼꼼한 성격의 소유자,,,,,2026-09-08 13:47:45
https://career.rememberapp.co.kr/job/posting/272362,,,"• 베이커리 총괄 - 레스토랑, 부페, 카페, 디저트 등 운영관리 - 메뉴 개발 및 총괄 운영 - 직원 관리",• 유명 호텔 베이커리 경험 • 직원 리딩 경험 •,• 기능장 등 자격 우대,,,,협의,,,,,,2026-09-08 13:47:46
https://career.rememberapp.co.kr/job/posting/272367,,,"- 전반적인 호텔 운영 관리 - 객실 및 고객 등 세일즈 제외 운영 관리 - 하우스키핑, 객실, 식음 등 유관 부서 협업 - 운영 효율화 관점 경영 관리","- 유명 호텔 운영 관리 경험 - 인사 혹은 객실 등 관리, 현장 경험 우대",,,,,협의,,,,,,2026-09-08 13:47:46
https://career.rememberapp.co.kr/job/posting/279897,,,• 고전압 DC-DC 컨버터 설계 경험 (필수) • 회로 설계 및 시뮬레이션 역량 (필수/중요) • 방열·열관리 설계 및 고효율 전력 변환 설계,• 전기 또는 전력전자 부분의 학사 또는 석사 이상의 학위소지자 • 관련 경력 10년 이상의 경력자 • 부산 근무 가능자,"• X-ray Tube, Ionizer 등 고전압 산업용 장비 개발 경험 • 에폭시/실리콘 포팅 기반 절연 구조 경험 • PMBus/I2C 기반 디지털 제어 경험 • 대기업/전력전자 기업 경력 • 관련 특허 보유자 우대","차,부장 / 과장~부장급 연봉 협의",,,협의,,,,,,2026-09-08 13:47:46
https://career.rememberapp.co.kr/job/posting/287212,,,"■ 요구 역량 1. 고전압 DC-DC 컨버터 설계 경험 - SiC, GaN, 고전압 다이오드(HV Diode) 등 고전압 소자 기반 회로설계 능력 - 1kVdc 이상의 소형 고전압 모듈 개발 경험(저전력 포함) - Ripple/Noise 저감 회로 설계 경험 - EMI/EMC 대응 설계 및 인증 경험 - 절연(Isolation) 설계 및 고전압 트랜스/멀티플라이어 구조 이해 2. 회로 설계 및 시뮬레이션 역량 - Altium Designer 숙련 - X-Spice 또는 기타 전력 회로 시뮬레이터(PSpice, LTspice 등) 사용 능력 - 고주파 스위칭(100kHz 이상) 설계 경험 - 소프트 스위칭(ZVS, ZCS 등) 설계 경험 - 절연형 DC-DC 컨버터 및 PFC 회로 설계 경험 ■ 세부 기술 요건 1. 고전압/절연 설계 - 트랜스포머, 멀티플라이어, HV 필터 등 절연 구조 설계 가능 - Clearance / Creepage 기준을 고려한 노이즈 차단 설계 - 고전압 소형 Transformer·Capacitor·Diode 선정 및 적용 능력 2. PCB/기구 설계 - 4 Layer 이상 고밀도(고전압 소형화) PCB 설계 경험 - 고전압 구간 레이아웃 최적화(Ripple/EMI 고려) - 쉴딩, 접지 구조 등 잡음저감을 위한 전문 설계 가능 3. 방열·열관리 설계 - 고전력 DC-DC에서의 발열 구조 이해 - PCB 방열 설계 및 열 분산 설계 - 열 해석 툴 활용 능력(우대) 4. 고효율 전력 변환 설계 - 고주파 스위칭(100 kHz~MHz 영역) 설계 - 손실 최소화를 위한 토폴로지 선택 및 효율 개선 경험","• 근무지 : 부산 (송정 또는 기장) • 학력 : 학사 이상 (관련 전공자) • 전공 : 전기, 전력전자 등","• X-ray Tube, Ionizer 등 고전압 산업용 장비 개발 경험 • 에폭시/실리콘 포팅 기반 절연 구조 경험 • PMBus/I2C 기반 디지털 제어 경험 • 전력전자 기업 경력 • 관련 특허 보유자 우대",과장 / 책임연구원 연봉 협의,,,협의,,,,,,2026-09-08 13:47:47
https://career.rememberapp.co.kr/job/posting/288260,,,"• IT 솔루션 Account Manager (Cloud, Saas, Storage 등) • •",• 관련 경력 10년 이상 • 영어 구사능력 필수 •,"• 대기업, 외국계 기업 경력 • •",,,,1억 원~,,,,,,2026-09-08 13:47:47
https://career.rememberapp.co.kr/job/posting/300571,,,"• Product Standardization: 파편화된 기획 산출물(PRD, SB)의 표준 템플릿 및 프로세스 정립 • Quality Assurance: 개발팀으로 이관되기 전, 기획서의 논리적 허점과 예외 케이스를 검증하는 Gatekeeper 역할 • Complex Logic Design: 규제 기반의 복잡한 수식 및 데이터 처리 로직을 개발 언어가 아닌 기획 언어로 구조화 • Mentoring: 주니어 PM들의 기획 스킬셋 상향 평준화를 위한 코칭 및 리뷰","• B2B SaaS, ERP, 핀테크, 물류 시스템 등 복잡한 로직이 포함된 서비스 기획/PM 경력 5년 이상 • 단순 UI/UX 개선이 아닌, Data Structure와 Policy(정책) 수립에 강점이 있는 분 • 개발 조직 및 경영진과 논리적 근거를 바탕으로 커뮤니케이션하여 설득해 본 경험 • (중요) 기획팀 리딩 혹은 사수로서 주니어의 산출물을 리뷰해 본 경험",• 해운/조선 도메인 지식 없어도 무방합니다. (도메인 전문가는 내부에 있습니다. 우리는 경험과 논리력이 필요합니다.) • Product Ops(프로덕트 오퍼레이션) 개념을 이해하고 적용해 본 분 • Jira/Confluence 등을 활용하여 히스토리 관리 및 문서화 체계를 잡아본 분,기타 / 팀장 연봉 협의,,,협의,,,,,,2026-09-08 13:47:47
https://career.rememberapp.co.kr/job/posting/313512,,,") · 생산 계획 기반 물류 배치 설계: 생산 일정, 물량, 설비 구성에 맞춰 효율적인 물류 배치를 설계하고, 이를 통해 생산성 향상을 지원 · 통합 물류 관리 시스템 구축: 생산과 물류의 연계를 강화하여 사전에 계획된 통합 물류 시스템을 구축·운영 · 물류 프로세스 표준화 및 SOP 구축: 현장의 분산된 물류 운영 방식을 표준화하고, 재현 가능한 SOP를 문서화하여 조직 전체에 적용 · 물류 KPI 체계 구축: 동선 효율, 작업 시간, 인원 활용도, 재고 회전율 등 다층적 KPI를 정의하고 지속적으로 모니터링·개선 · ERP/MES/WMS 운영 최적화: 생산 계획 시스템과 연계된 물류 시스템을 운영하고, 데이터 기반의 의사결정을 지원 · 생산 물류 개선 프로젝트 주도: 동선 최적화, 재고 관리, 작업 시간 단축, 인원 효율화 등 지속적인 물류 혁신 추진",") · 제조 생산 환경에서의 물류 운영 경험(생산 계획 연계 물류 배치 경험) · 물류 프로세스 표준화 및 SOP 구축 경험 · ERP/MES/WMS 중 2개 이상 시스템 운영 경험 · 재고관리 전략 수립 경험 (안전재고, EOQ 등) · 물류 개선 프로젝트 (동선 최적화, 작업 시간 단축, 인원 효율화 등) 경험 (우대) 물류센터 또는 제조 현장 레이아웃 설계 경험 (우대) 물류비 분석 및 비용 절감 활동 경험 (우대) 물류 자동화 시스템 도입 경험 (우대) 생산 계획 시스템과 물류 시스템 연계 경험 Soft Skills (필수 역량) · 제조 이해도: 생산 계획, 설비, 공정을 이해하고, 물류가 생산성에 미치는 영향을 인식하는 능력 · 전략적 사고: 현장의 요청에 즉각 반응하는 것을 넘어, 사전에 계획하고 체계화된 물류 시스템을 설계할 수 있는 능력 · 실행 리더십: 표준화, 개선 과제를 조직 전체에 안착시키고, 지속적인 성과를 도출하는 역량 · 데이터 기반 의사결정: 직관과 경험에만 의존하지 않고, 정량적 분석으로 최적의 물류 배치를 결정하는 능력",Hard Skills (,"차,부장 연봉 협의",,,협의,,,,,,2026-09-08 13:47:47
https://career.rememberapp.co.kr/job/posting/314291,,,"• 디자인팀 전체 운영 및 리딩 (R&R 분배, 일정·리소스 관리) • 영상 및 유튜브 콘텐츠 기획 및 디렉팅 • 디자인 관련 아이덴티티 수립 및 가이드라인 운영","• 디자인 경력 10년 이상 보유하신 분 • 영상, 그래픽 등 다양한 디자인 영역을 이해하고 디렉팅 할 수 있는 분",• 디자인팀 리딩 경험이 있으신 분 • 스타트업 또는 빠르게 성장하는 조직에서의 경험이 있으신 분,과장 연봉 협의,,,협의,,,,,,2026-09-08 13:47:48
https://career.rememberapp.co.kr/job/posting/314296,,,• 실시간 스트리밍/채팅 서비스 인프라 아키텍처 설계 및 고도화 • 온프레미스 클라우드 전환 및 운영 표준 수립 • 트래픽 급증 대응을 위한 오토스케일링 및 분산 구조 설계 • Kubernetes 기반 서비스 실행 환경 구축 및 표준화 • CI/CD 파이프라인 구축 및 배포 자동화 체계 확립 • 모니터링/로깅/알림 체계 고도화 (Observability),• 인프라/플랫폼 엔지니어링 5 ~ 20년 경험 • 온프레미스 클라우드 전환 또는 하이브리드 운영 경험 • 대용량 트래픽 환경에서 인프라 설계/운영 경험 • Kubernetes/Docker 기반 서비스 운영 경험 • CI/CD 구축 및 배포 자동화 경험,"• 대규모 트래픽 또는 실시간 서비스 인프라 운영 경험이 있으신 분 • 멀티 리전 또는 고가용성(HA) 아키텍처 설계/운영 경험이 있으신 분 • Observability(Prometheus, Grafana, ELK 등) 구축 및 고도화 경험이 있으신 분 • IaC(Terraform 등)를 활용한 인프라 표준화 및 자동화 경험이 있으신 분",과장 연봉 협의,,,협의,,,,,,2026-09-08 13:47:48
https://career.rememberapp.co.kr/job/posting/314297,,,"• 라이브 스트리밍, 채팅, 후원/이벤트 백엔드 서비스 설계 및 개발 • PHP 레거시 시스템 구조 개선 및 Go 기반 서비스로 전환 • 모놀리식 시스템의 MSA 아키텍처 전환 • 대규모 트래픽 처리 구조 설계 및 성능 최적화","• 백엔드 개발 5년 이상 경험해 보신 분 • PHP, Go (혹은 Java) 기반 서비스 설계 및 개발 경험을 해보신 분 • 대규모 트래픽 처리 서비스 경험을 해보신 분 • MSA 아키텍처 및 서비스 전환 경험을 해보신 분","• 실시간 스트리밍, 채팅, 이벤트 처리 서비스 개발 경험이 있으신 분 • 이벤트 기반 아키텍처(Kafka 등) 설계 및 운영 경험이 있으신 분 • 대규모 트래픽 환경에서의 서비스 설계/운영 경험이 있으신 분",기타 연봉 협의,,,협의,,,,,,2026-09-08 13:47:49
https://career.rememberapp.co.kr/job/posting/314324,,,"• 팬더티비 이용자 니즈와 시장 트렌드를 반영한 서비스 전략 수립 • 서비스로직, 정책, 기능 정의 및 UI/UX를 설계하고, 개발/디자인/QA 등 유관 부서와 협업하여 개선 기능 구현 • GA등을 통해 확보한 사용자 행동 데이터를 기반으로 정량적 인사이트를 도출하고, 서비스 개선 가설 수립 및 검증",• 서비스 기능 기획부터 실행 및 개선까지의 경험을 하였거나 관심이 있으신 분 • 포트폴리오 (경력자 필수),"• GA 등과 같은 데이터 분석 도구를 활용하여 이벤트 설계 및 데이터 기반 개선 경험이 있으신 분 • Figma, Jira, Confluence, GA 등 협업 도구를 활용한 문서화 및 업무경험이 있으신 분","사원,대리 연봉 협의",,,협의,,,,,,2026-09-08 13:47:49
https://career.rememberapp.co.kr/job/posting/314538,,,"[합류하면 함께 할 업무예요] • 담당 지역의 업무 환경에서 발생하는 이슈를 가장 가까운 곳에서 확인하고 대응해요. • 지점의 계정, 장비, 네트워크 등 오프라인 지원이 필요한 IT 업무환경 운영을 본사 IT Manager와 함께 진행해요. • 지점 신규 입사자가 바로 업무를 시작할 수 있도록 온보딩 및 장비 세팅을 지원해요. • 사무 환경, 비품, 시설 등 총무 운영을 함께 담당해요. • 지역 단위 자산 현황을 관리하고, Asset Manager와 함께 전사의 자산 운영이 잘 이뤄지도록 지원해요. • General Affairs Manager와 함께 지점 확장, 이전, 공사 등 공간 관련 업무를 현장에서 실행하고 개선해요.","[이런 분과 함께하고 싶어요] • 3년 이상, 100인 규모 이상의 조직에서 총무/운영 업무 경험이 있으신 분을 찾고 있어요. • 네트워크, PC, 계정 권한 등 업무 환경에 대한 기본적인 IT 이해도가 있는 분을 찾고 있어요. • 현장에서 발생하는 문제를 빠르게 파악하고 해결할 수 있는 분을 기다려요. • 여러 요청을 동시에 처리하면서도 우선순위를 잘 정할 수 있는 분을 기다려요. • 담당 지역의 지점 운영을 책임감 있게 맡아주실 수 있는 분을 기다려요.","[이런 경험이 있다면 더 좋아요] • 사무실 임대차, 이전 등 부동산 관련 업무 경험이 있다면 좋아요. • 헬프데스크, IT 지원 또는 전산 총무 포지션 업무 경험이 있다면 좋아요. • 지점/지사 등 분산된 조직에서 근무해본 경험이 있다면 좋아요. • 현장 운영 이슈를 개선으로 연결해본 경험이 있다면 좋아요.",,,,협의,,,,,,2026-09-08 13:47:49
